"words","pos_likelihood","neg_likelihood"
"enthusiastic",0.099999999999999,1e-15
"excellence",0.0998985801217039,0.00010141987829615
"greatness",0.099290060851927,0.000709939148073024
"perfect",0.099290060851927,0.000709939148073024
"glorious",0.099290060851927,0.000709939148073024
"heavenly",0.098580121703854,0.00141987829614605
"excitement",0.098580121703854,0.00141987829614605
"joy",0.0978701825557809,0.00212981744421907
"romantic",0.0978701825557809,0.00212981744421907
"particularly happy",0.0978701825557809,0.00212981744421907
"fantastic",0.0978701825557809,0.00212981744421907
"brilliant",0.0978701825557809,0.00212981744421907
"highly successful",0.0978701825557809,0.00212981744421907
"so successful",0.0978701825557809,0.00212981744421907
"heaven",0.097210953346856,0.00278904665314401
"magnificent",0.0967038539553753,0.00329614604462475
"love",0.096501014198783,0.00349898580121704
"praise",0.096501014198783,0.00349898580121704
"celebration",0.096501014198783,0.00349898580121704
"prosperity",0.096501014198783,0.00349898580121704
"most successful",0.0958924949290061,0.00410750507099391
"delightful",0.0957910750507099,0.00420892494929006
"outstanding",0.0957910750507099,0.00420892494929006
"divine",0.0950811359026369,0.00491886409736308
"very attractive",0.0950811359026369,0.00491886409736308
"quite special",0.0950811359026369,0.00491886409736308
"spectacular",0.0950811359026369,0.00491886409736308
"excellent",0.0950811359026369,0.00491886409736308
"really good",0.0950811359026369,0.00491886409736308
"very very happy",0.0950811359026369,0.00491886409736308
"favorite",0.0950811359026369,0.00491886409736308
"very very good",0.0950811359026369,0.00491886409736308
"very very special",0.0950811359026369,0.00491886409736308
"really successful",0.0943711967545639,0.00562880324543611
"extremely nice",0.0943711967545639,0.00562880324543611
"warmth",0.0943711967545639,0.00562880324543611
"very proud",0.0943711967545639,0.00562880324543611
"enjoyment",0.0943711967545639,0.00562880324543611
"really enjoy",0.0943711967545639,0.00562880324543611
"successful",0.0943711967545639,0.00562880324543611
"super",0.0943711967545639,0.00562880324543611
"wonderful",0.0942697768762678,0.00573022312373225
"acceptance",0.0942697768762678,0.00573022312373225
"beloved",0.0942697768762678,0.00573022312373225
"very successful",0.0936612576064909,0.00633874239350912
"really great",0.0936612576064909,0.00633874239350912
"excited",0.0936612576064909,0.00633874239350912
"very happy",0.0936612576064909,0.00633874239350912
"happy",0.0936612576064909,0.00633874239350912
"generous",0.0936612576064909,0.00633874239350912
"so great",0.0936612576064909,0.00633874239350912
"darling",0.0936612576064909,0.00633874239350912
"sincere",0.0936612576064909,0.00633874239350912
"pleasant",0.0936612576064909,0.00633874239350912
"pleasure",0.0936612576064909,0.00633874239350912
"most happy",0.0936612576064909,0.00633874239350912
"noble",0.0934584178498986,0.00654158215010142
"graceful",0.0934584178498986,0.00654158215010142
"enjoy",0.0932048681541582,0.00679513184584178
"was so happy",0.0929513184584179,0.00704868154158215
"affectionate",0.0929513184584179,0.00704868154158215
"cheerful",0.0929513184584179,0.00704868154158215
"advantage",0.0929513184584179,0.00704868154158215
"laugh",0.0929513184584179,0.00704868154158215
"gifted",0.0929513184584179,0.00704868154158215
"very special",0.0929513184584179,0.00704868154158215
"success",0.0929513184584179,0.00704868154158215
"genuine",0.0929513184584179,0.00704868154158215
"especially good",0.0929513184584179,0.00704868154158215
"extremely good",0.0929513184584179,0.00704868154158215
"triumphant",0.0929513184584179,0.00704868154158215
"extremely happy",0.0929513184584179,0.00704868154158215
"extremely attractive",0.0926470588235294,0.00735294117647058
"splendid",0.0926470588235294,0.00735294117647058
"brilliance",0.0926470588235294,0.00735294117647058
"was very happy",0.0926470588235294,0.00735294117647058
"precious",0.0926470588235294,0.00735294117647058
"extraordinary",0.0922413793103448,0.00775862068965517
"more pleased",0.0922413793103448,0.00775862068965517
"appreciate",0.0922413793103448,0.00775862068965517
"truthful",0.0922413793103448,0.00775862068965517
"most good",0.0922413793103448,0.00775862068965517
"sensational",0.0922413793103448,0.00775862068965517
"very nice",0.0922413793103448,0.00775862068965517
"extremely pleased",0.0922413793103448,0.00775862068965517
"glad",0.0918356997971602,0.00816430020283976
"so happy",0.0915314401622718,0.0084685598377282
"freedom",0.0915314401622718,0.0084685598377282
"was more fun",0.0915314401622718,0.0084685598377282
"really happy",0.0915314401622718,0.0084685598377282
"delight",0.0915314401622718,0.0084685598377282
"harmony",0.0915314401622718,0.0084685598377282
"incredible",0.0915314401622718,0.0084685598377282
"treasure",0.0915314401622718,0.0084685598377282
"so helpful",0.0915314401622718,0.0084685598377282
"cheery",0.0915314401622718,0.0084685598377282
"peace",0.0915314401622718,0.0084685598377282
"respectable",0.0915314401622718,0.0084685598377282
"kindness",0.0915314401622718,0.0084685598377282
"pretty",0.0915314401622718,0.0084685598377282
"achievement",0.0915314401622718,0.0084685598377282
"trustworthy",0.0913286004056795,0.00867139959432048
"beauty",0.0910750507099392,0.00892494929006085
"confidence",0.0908722109533469,0.00912778904665315
"brave",0.0908722109533469,0.00912778904665315
"friendly",0.0908722109533469,0.00912778904665315
"enjoyable",0.0908722109533469,0.00912778904665315
"was very nice",0.0908722109533469,0.00912778904665315
"encouragement",0.0908722109533469,0.00912778904665315
"passionate",0.0908722109533469,0.00912778904665315
"more fun",0.0908722109533469,0.00912778904665315
"was so great",0.0908722109533469,0.00912778904665315
"highly attractive",0.0908722109533469,0.00912778904665315
"confident",0.0908722109533469,0.00912778904665315
"optimistic",0.0908722109533469,0.00912778904665315
"so pleased",0.0908722109533469,0.00912778904665315
"compassionate",0.09026369168357,0.00973630831643002
"goodness",0.0901622718052738,0.00983772819472616
"was really pleased",0.0901622718052738,0.00983772819472616
"accomplishment",0.0901622718052738,0.00983772819472616
"gracious",0.0901622718052738,0.00983772819472616
"support",0.0901622718052738,0.00983772819472616
"grace",0.0901622718052738,0.00983772819472616
"quite funny",0.0901622718052738,0.00983772819472616
"was very proud",0.0901622718052738,0.00983772819472616
"desirable",0.0901622718052738,0.00983772819472616
"pleased",0.0901622718052738,0.00983772819472616
"lover",0.0901622718052738,0.00983772819472616
"was very pleased",0.0901622718052738,0.00983772819472616
"great",0.0901622718052738,0.00983772819472616
"quite helpful",0.0901622718052738,0.00983772819472616
"very fair",0.0901622718052738,0.00983772819472616
"peaceful",0.0901622718052738,0.00983772819472616
"honor",0.0894523326572008,0.0105476673427992
"very pleased",0.0894523326572008,0.0105476673427992
"really love",0.0894523326572008,0.0105476673427992
"prestige",0.0894523326572008,0.0105476673427992
"was so successful",0.0894523326572008,0.0105476673427992
"cherish",0.0894523326572008,0.0105476673427992
"heroic",0.0894523326572008,0.0105476673427992
"extremely helpful",0.0894523326572008,0.0105476673427992
"bless",0.0894523326572008,0.0105476673427992
"really fun",0.0894523326572008,0.0105476673427992
"very safe",0.0894523326572008,0.0105476673427992
"was quite happy",0.0894523326572008,0.0105476673427992
"was very attractive",0.0894523326572008,0.0105476673427992
"quite fun",0.0894523326572008,0.0105476673427992
"ideal",0.0894523326572008,0.0105476673427992
"valuable",0.0894523326572008,0.0105476673427992
"fortunate",0.0894523326572008,0.0105476673427992
"embrace",0.0894523326572008,0.0105476673427992
"highly effective",0.0894523326572008,0.0105476673427992
"champion",0.0894523326572008,0.0105476673427992
